algorithm,dim5_p,dim5_neg,dim5_pos,dim20_p,dim20_neg,dim20_pos
SEP_BA_syncE_or_asyncE_syncG,0.3313349065031326,10,14,0.22886900026455015,3,21
SEP_GOA_syncE_or_asyncE_syncG,0.6261109162613098,7,17,0.6673653270475619,5,19
SEP_CSA_syncE_or_asyncE,0.6475683676310555,12,12,0.8862414820514412,10,14
SEP_MFO_syncE_or_asyncE,0.2530979089471155,11,13,0.8409995729722781,9,15
SEP_MBO_syncE_or_asyncE_syncG,0.31731050786291415,10,14,0.17469182698689223,8,16
SEP_BOA_syncE_or_asyncE_syncG,0.7750969621959847,13,11,0.2773986245500173,9,15
SEP_PSO_syncE_or_asyncE_syncG,0.954431397113681,9,15,0.19449921074798193,9,15
UNIOA_BA_syncE_or_asyncE_syncG,0.24142655338204444,9,15,0.5968445170755943,4,20
UNIOA_GOA_syncE_or_asyncE_syncG,0.6465582592577419,11,13,0.6233436223982587,8,16
UNIOA_CSA_syncE_or_asyncE,0.9090113066460508,11,13,0.9430276454464167,10,14
UNIOA_MFO_syncE_or_asyncE,0.6475683676310555,14,10,0.38327738184229543,10,14
UNIOA_MBO_syncE_or_asyncE_syncG,0.265156633625956,15,9,0.24697273165906564,14,10
UNIOA_BOA_syncE_or_asyncE_syncG,0.09749059620220792,9,15,0.629275096131297,5,19
UNIOA_PSO_syncE_or_asyncE_syncG,0.954431397113681,12,12,0.4655179892460418,10,14
